"Ext","Name","SizeMB","Modified","Path"
".dll","CSWin_MacEnc.dll","0,57","2026-07-03","Support Files\Required\Linguistics\Providers\Plugins2\WRLiloPlugin1.3\CSWin_MacEnc.dll"
".dll","boost_serialization.dll","0,56","2026-07-03","Support Files\Contents\Windows\boost_serialization.dll"
".dll","adobeusd_sdr.dll","0,56","2026-07-03","Support Files\Contents\Windows\adobeusd_sdr.dll"
".dll","adobeusd_ts.dll","0,56","2026-07-03","Support Files\Contents\Windows\adobeusd_ts.dll"
".dll","substance_ogl3_blend.dll","0,55","2026-07-03","Support Files\Contents\Windows\substance_ogl3_blend.dll"
".smrd","Reader for CorelDraw.smrd","0,55","2026-07-03","Plug-ins\Illustrator Formats\Reader for CorelDraw.smrd"
".dll","substance_ogl3_native.dll","0,55","2026-07-03","Support Files\Contents\Windows\substance_ogl3_native.dll"
".aip","PhotoshopAdapter.aip","0,55","2026-07-03","Plug-ins\Photoshop Filters\PhotoshopAdapter.aip"
".aip","EyeBucketTool.aip","0,55","2026-07-03","Plug-ins\Tools\EyeBucketTool.aip"
".aip","RepeatArtsUI.aip","0,55","2026-07-03","Plug-ins\Extensions\RepeatArtsUI.aip"
".dll","ASMREM230A.dll","0,54","2026-07-03","Support Files\Contents\Windows\ASMREM230A.dll"
".dll","vulkan-1.dll","0,54","2026-07-03","Support Files\Contents\Windows\CEPHtmlEngine\vulkan-1.dll"
".aip","ArtboardPanel.aip","0,54","2026-07-03","Plug-ins\Extensions\ArtboardPanel.aip"
".aip","svgFileFormatUI.aip","0,53","2026-07-03","Plug-ins\Illustrator UI\svgFileFormatUI.aip"
".aip","TransformPalett.aip","0,53","2026-07-03","Plug-ins\Extensions\TransformPalett.aip"
".aip","OneExit.aip","0,53","2026-07-03","Plug-ins\Extensions\OneExit.aip"
".dll","substance_d3d11_native.dll","0,52","2026-07-03","Support Files\Contents\Windows\substance_d3d11_native.dll"
".dll","substance_d3d11_blend.dll","0,52","2026-07-03","Support Files\Contents\Windows\substance_d3d11_blend.dll"
".aip","TextFindFont.aip","0,51","2026-07-03","Plug-ins\Text Filters\TextFindFont.aip"
".aip","DocInfo.aip","0,51","2026-07-03","Plug-ins\Extensions\DocInfo.aip"
".dll","VulcanMessage5.dll","0,5","2026-07-03","Support Files\Contents\Windows\VulcanMessage5.dll"
".smrd","Reader for DOCX.smrd","0,49","2026-07-03","Plug-ins\Illustrator Formats\Reader for DOCX.smrd"
".dll","ASMWELD230A.dll","0,49","2026-07-03","Support Files\Contents\Windows\ASMWELD230A.dll"
".aip","DebugPanel.aip","0,48","2026-07-03","Plug-ins\DebugPanel.aip"
".dll","ASMSHL230A.dll","0,48","2026-07-03","Support Files\Contents\Windows\ASMSHL230A.dll"
".aip","EraserTool.aip","0,48","2026-07-03","Plug-ins\Tools\EraserTool.aip"
".aip","DiffusionColoring.aip","0,48","2026-07-03","Plug-ins\Extensions\DiffusionColoring.aip"
".aip","PSImport.aip","0,48","2026-07-03","Plug-ins\Photoshop Formats\PSImport.aip"
".dll","AcPersSubentNaming25.dll","0,47","2026-07-03","Support Files\Contents\Windows\AcPersSubentNaming25.dll"
".aip","OnBoarding.aip","0,47","2026-07-03","Plug-ins\Illustrator UI\OnBoarding.aip"
".aip","BoundingBox.aip","0,46","2026-07-03","Plug-ins\Tools\BoundingBox.aip"
".aip","Deform.aip","0,45","2026-07-03","Plug-ins\Extensions\Deform.aip"
